date, GOOG, AAPL, GE, BERK, JNJ
2015-09-27,69,41,1,1,0
2015-10-04,66,40,4,1,1
2015-10-11,71,33,5,1,0
2015-10-18,64,32,1,0,0
2015-10-25,62,35,4,1,0
2015-11-01,67,33,4,1,0
2015-11-08,66,31,3,1,0
2015-11-15,65,34,2,0,0
2015-11-22,66,29,2,0,0
2015-11-29,73,28,2,0,1
2015-12-06,67,33,4,1,0
2015-12-13,68,37,2,0,0
2015-12-20,67,38,1,1,0
2015-12-27,67,34,1,0,0
2016-01-03,59,35,2,0,0
2016-01-10,63,35,3,1,1
2016-01-17,59,28,2,0,1
2016-01-24,63,30,2,2,0
2016-01-31,55,31,4,1,1
2016-02-07,56,31,2,1,0
2016-02-14,59,27,1,1,0
2016-02-21,60,32,1,0,0
2016-02-28,56,30,3,1,1
2016-03-06,57,30,1,0,0
2016-03-13,59,25,1,0,0
2016-03-20,63,33,1,0,1
2016-03-27,61,37,1,1,0
2016-04-03,57,25,2,1,1
2016-04-10,53,35,2,1,1
2016-04-17,55,25,1,0,0
2016-04-24,57,37,2,1,0
2016-05-01,49,28,2,0,0
2016-05-08,60,26,2,1,0
2016-05-15,60,32,2,1,0
2016-05-22,48,31,3,0,0
2016-05-29,55,28,2,0,0
2016-06-05,57,28,2,0,0
2016-06-12,45,29,1,1,0
2016-06-19,49,28,2,1,0
2016-06-26,49,27,2,1,0
2016-07-03,47,29,1,1,0
2016-07-10,48,26,2,1,0
2016-07-17,53,28,3,1,1
2016-07-24,55,31,2,1,1
2016-07-31,52,30,1,0,0
2016-08-07,50,26,2,0,0
2016-08-14,43,24,1,1,0
2016-08-21,52,28,1,2,0
2016-08-28,57,29,1,1,0
2016-09-04,52,67,1,1,0
2016-09-11,51,54,2,0,0
2016-09-18,53,54,1,0,1
2016-09-25,54,43,3,0,0
2016-10-02,60,34,2,0,0
2016-10-09,49,38,2,0,0
2016-10-16,56,35,2,1,0
2016-10-23,59,39,2,1,0
2016-10-30,49,39,3,0,1
2016-11-06,45,31,3,0,0
2016-11-13,59,39,2,1,0
2016-11-20,48,48,1,0,0
2016-11-27,51,35,2,1,1
2016-12-04,54,35,2,1,0
2016-12-11,60,37,4,1,0
2016-12-18,57,43,2,1,0
2016-12-25,50,49,1,0,0
2017-01-01,52,33,2,0,0
2017-01-08,59,36,2,1,0
2017-01-15,55,34,2,1,0
2017-01-22,59,34,3,1,1
2017-01-29,56,33,2,1,0
2017-02-05,58,35,2,1,1
2017-02-12,57,36,2,1,0
2017-02-19,56,63,3,0,1
2017-02-26,63,36,1,1,0
2017-03-05,55,33,3,0,0
2017-03-12,54,31,3,0,1
2017-03-19,53,33,2,1,1
2017-03-26,57,29,3,1,1
2017-04-02,59,26,2,0,1
2017-04-09,54,28,2,0,1
2017-04-16,56,27,3,0,1
2017-04-23,55,31,3,0,0
2017-04-30,56,35,2,1,1
2017-05-07,52,34,1,1,0
2017-05-14,55,29,2,1,1
2017-05-21,52,33,2,1,1
2017-05-28,52,31,2,0,0
