date,sentiment_data,symbol
2015-09-27,59,AAPL
2015-10-04,53,AAPL
2015-10-11,47,AAPL
2015-10-18,52,AAPL
2015-10-25,45,AAPL
2015-11-01,45,AAPL
2015-11-08,47,AAPL
2015-11-15,46,AAPL
2015-11-22,45,AAPL
2015-11-29,41,AAPL
2015-12-06,45,AAPL
2015-12-13,53,AAPL
2015-12-20,56,AAPL
2015-12-27,53,AAPL
2016-01-03,52,AAPL
2016-01-10,45,AAPL
2016-01-17,43,AAPL
2016-01-24,42,AAPL
2016-01-31,41,AAPL
2016-02-07,40,AAPL
2016-02-14,39,AAPL
2016-02-21,50,AAPL
2016-02-28,37,AAPL
2016-03-06,36,AAPL
2016-03-13,36,AAPL
2016-03-20,49,AAPL
2016-03-27,47,AAPL
2016-04-03,38,AAPL
2016-04-10,45,AAPL
2016-04-17,36,AAPL
2016-04-24,47,AAPL
2016-05-01,41,AAPL
2016-05-08,42,AAPL
2016-05-15,40,AAPL
2016-05-22,38,AAPL
2016-05-29,38,AAPL
2016-06-05,42,AAPL
2016-06-12,44,AAPL
2016-06-19,45,AAPL
2016-06-26,40,AAPL
2016-07-03,40,AAPL
2016-07-10,39,AAPL
2016-07-17,38,AAPL
2016-07-24,40,AAPL
2016-07-31,41,AAPL
2016-08-07,40,AAPL
2016-08-14,33,AAPL
2016-08-21,40,AAPL
2016-08-28,39,AAPL
2016-09-04,93,AAPL
2016-09-11,78,AAPL
2016-09-18,66,AAPL
2016-09-25,50,AAPL
2016-10-02,45,AAPL
2016-10-09,54,AAPL
2016-10-16,48,AAPL
2016-10-23,56,AAPL
2016-10-30,51,AAPL
2016-11-06,48,AAPL
2016-11-13,52,AAPL
2016-11-20,67,AAPL
2016-11-27,53,AAPL
2016-12-04,53,AAPL
2016-12-11,50,AAPL
2016-12-18,59,AAPL
2016-12-25,62,AAPL
2017-01-01,57,AAPL
2017-01-08,52,AAPL
2017-01-15,48,AAPL
2017-01-22,46,AAPL
2017-01-29,51,AAPL
2017-02-05,47,AAPL
2017-02-12,45,AAPL
2017-02-19,88,AAPL
2017-02-26,52,AAPL
2017-03-05,46,AAPL
2017-03-12,43,AAPL
2017-03-19,46,AAPL
2017-03-26,44,AAPL
2017-04-02,40,AAPL
2017-04-09,45,AAPL
2017-04-16,41,AAPL
2017-04-23,41,AAPL
2017-04-30,47,AAPL
2017-05-07,42,AAPL
2017-05-14,38,AAPL
2017-05-21,43,AAPL
2017-05-28,39,AAPL
2017-06-04,49,AAPL
2017-06-11,43,AAPL
2017-06-18,45,AAPL
2017-06-25,41,AAPL
2017-07-02,45,AAPL
2017-07-09,48,AAPL
2017-07-16,43,AAPL
2017-07-23,44,AAPL
2017-07-30,53,AAPL
2017-08-06,49,AAPL
2017-08-13,46,AAPL
2017-08-20,38,AAPL
2017-08-27,44,AAPL
2017-09-03,47,AAPL
2017-09-10,98,AAPL
2017-09-17,80,AAPL
2017-09-24,66,AAPL
2017-10-01,60,AAPL
2017-10-08,50,AAPL
2017-10-15,55,AAPL
2017-10-22,56,AAPL
2017-10-29,69,AAPL
2017-11-05,62,AAPL
2017-11-12,58,AAPL
2017-11-19,68,AAPL
2017-11-26,71,AAPL
2017-12-03,57,AAPL
2017-12-10,55,AAPL
2017-12-17,62,AAPL
2017-12-24,71,AAPL
2017-12-31,54,AAPL
2018-01-07,49,AAPL
2018-01-14,50,AAPL
2018-01-21,48,AAPL
2018-01-28,53,AAPL
2018-02-04,50,AAPL
2018-02-11,50,AAPL
2018-02-18,47,AAPL
2018-02-25,50,AAPL
2018-03-04,46,AAPL
2018-03-11,42,AAPL
2018-03-18,45,AAPL
2018-03-25,44,AAPL
2018-04-01,49,AAPL
2018-04-08,41,AAPL
2018-04-15,46,AAPL
2018-04-22,41,AAPL
2018-04-29,46,AAPL
2018-05-06,48,AAPL
2018-05-13,48,AAPL
2018-05-20,43,AAPL
2018-05-27,40,AAPL
2018-06-03,48,AAPL
2018-06-10,48,AAPL
2018-06-17,41,AAPL
2018-06-24,44,AAPL
2018-07-01,44,AAPL
2018-07-08,46,AAPL
2018-07-15,48,AAPL
2018-07-22,49,AAPL
2018-07-29,56,AAPL
2018-08-05,46,AAPL
2018-08-12,46,AAPL
2018-08-19,50,AAPL
2018-08-26,47,AAPL
2018-09-02,47,AAPL
2018-09-09,100,AAPL
2018-09-16,83,AAPL
2018-09-23,73,AAPL
2018-09-30,66,AAPL
2018-10-07,58,AAPL
2018-10-14,53,AAPL
2018-10-21,53,AAPL
2018-10-28,61,AAPL
2018-11-04,53,AAPL
2018-11-11,61,AAPL
2018-11-18,74,AAPL
2018-11-25,62,AAPL
2018-12-02,57,AAPL
2018-12-09,62,AAPL
2018-12-16,62,AAPL
2018-12-23,80,AAPL
2018-12-30,71,AAPL
2019-01-06,56,AAPL
2019-01-13,52,AAPL
2019-01-20,55,AAPL
2019-01-27,50,AAPL
2019-02-03,53,AAPL
2019-02-10,51,AAPL
2019-02-17,47,AAPL
2019-02-24,44,AAPL
2019-03-03,52,AAPL
2019-03-10,44,AAPL
2019-03-17,50,AAPL
2019-03-24,47,AAPL
2019-03-31,56,AAPL
2019-04-07,51,AAPL
2019-04-14,49,AAPL
2019-04-21,46,AAPL
2019-04-28,48,AAPL
2019-05-05,42,AAPL
2019-05-12,49,AAPL
2019-05-19,43,AAPL
2019-05-26,46,AAPL
2019-06-02,49,AAPL
2019-06-09,49,AAPL
2019-06-16,44,AAPL
2019-06-23,49,AAPL
2019-06-30,45,AAPL
2019-07-07,49,AAPL
2019-07-14,53,AAPL
2019-07-21,53,AAPL
2019-07-28,56,AAPL
2019-08-04,54,AAPL
2019-08-11,51,AAPL
2019-08-18,55,AAPL
2019-08-25,49,AAPL
2019-09-01,55,AAPL
2019-09-08,83,AAPL
2019-09-15,73,AAPL
2019-09-22,73,AAPL
2019-09-29,63,AAPL
2019-10-06,59,AAPL
2019-10-13,54,AAPL
2019-10-20,55,AAPL
2019-10-27,55,AAPL
2019-11-03,60,AAPL
