date, debt
2015-09-20,0
2015-09-27,37
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,36
2015-11-08,36
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,37
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,38
2016-02-14,0
2016-02-21,37
2016-02-28,37
2016-03-06,0
2016-03-13,0
2016-03-20,39
2016-03-27,38
2016-04-03,0
2016-04-10,38
2016-04-17,0
2016-04-24,38
2016-05-01,0
2016-05-08,0
2016-05-15,38
2016-05-22,0
2016-05-29,0
2016-06-05,77
2016-06-12,0
2016-06-19,59
2016-06-26,0
2016-07-03,0
2016-07-10,40
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,42
2016-08-14,0
2016-08-21,41
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,39
2016-10-02,38
2016-10-09,0
2016-10-16,38
2016-10-23,39
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,36
2016-12-11,0
2016-12-18,39
2016-12-25,40
2017-01-01,39
2017-01-08,0
2017-01-15,0
2017-01-22,35
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,34
2017-03-05,34
2017-03-12,34
2017-03-19,0
2017-03-26,35
2017-04-02,35
2017-04-09,0
2017-04-16,35
2017-04-23,0
2017-04-30,36
2017-05-07,35
2017-05-14,0
2017-05-21,37
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,36
2017-06-25,0
2017-07-02,39
2017-07-09,0
2017-07-16,51
2017-07-23,37
2017-07-30,0
2017-08-06,0
2017-08-13,37
2017-08-20,0
2017-08-27,0
2017-09-03,36
2017-09-10,0
2017-09-17,0
2017-09-24,0
2017-10-01,36
2017-10-08,36
2017-10-15,0
2017-10-22,35
2017-10-29,0
2017-11-05,34
2017-11-12,34
2017-11-19,34
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,38
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,33
2018-01-28,0
2018-02-04,34
2018-02-11,33
2018-02-18,0
2018-02-25,65
2018-03-04,0
2018-03-11,0
2018-03-18,67
2018-03-25,34
2018-04-01,51
2018-04-08,67
2018-04-15,33
2018-04-22,33
2018-04-29,34
2018-05-06,33
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,67
2018-06-10,33
2018-06-17,0
2018-06-24,33
2018-07-01,34
2018-07-08,0
2018-07-15,34
2018-07-22,34
2018-07-29,67
2018-08-05,82
2018-08-12,0
2018-08-19,51
2018-08-26,33
2018-09-02,33
2018-09-09,32
2018-09-16,32
2018-09-23,32
2018-09-30,76
2018-10-07,66
2018-10-14,100
2018-10-21,66
2018-10-28,0
2018-11-04,32
2018-11-11,0
2018-11-18,33
2018-11-25,32
2018-12-02,49
2018-12-09,33
2018-12-16,34
2018-12-23,55
2018-12-30,35
2019-01-06,0
2019-01-13,32
2019-01-20,31
2019-01-27,0
2019-02-03,32
2019-02-10,32
2019-02-17,64
2019-02-24,84
2019-03-03,0
2019-03-10,0
2019-03-17,32
2019-03-24,0
2019-03-31,0
2019-04-07,33
2019-04-14,0
2019-04-21,33
2019-04-28,0
2019-05-05,0
2019-05-12,32
2019-05-19,32
2019-05-26,32
2019-06-02,0
2019-06-09,32
2019-06-16,64
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,50
2019-07-28,0
2019-08-04,33
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,30
2019-09-22,30
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,30
2019-10-27,30
2019-11-03,30
2019-11-10,29
2019-11-17,30
2019-11-24,30
2019-12-01,30
2019-12-08,45
2019-12-15,46
2019-12-22,33
2019-12-29,0
2020-01-05,74
2020-01-12,0
2020-01-19,72
2020-01-26,72
2020-02-02,86
2020-02-09,72
2020-02-16,57
2020-02-23,28
2020-03-01,42
2020-03-08,55
2020-03-15,63
2020-03-22,26
2020-03-29,34
2020-04-05,27
2020-04-12,52
2020-04-19,26
2020-04-26,34
2020-05-03,69
2020-05-10,26
2020-05-17,27
2020-05-24,27
2020-05-31,26
2020-06-07,44
2020-06-14,27
2020-06-21,0
2020-06-28,55
2020-07-05,42
2020-07-12,57
2020-07-19,38
2020-07-26,58
2020-08-02,28
2020-08-09,56
2020-08-16,28
2020-08-23,55
2020-08-30,54
2020-09-06,55
2020-09-13,0
